iter	Passed	Remaining
0	221	220779
1	252	126077
2	271	90091
3	300	74940
4	331	65987
5	351	58273
6	381	54054
7	402	49945
8	448	49337
9	491	48693
10	565	50885
11	623	51326
12	654	49691
13	681	48012
14	706	46408
15	731	45005
16	761	44024
17	783	42734
18	812	41962
19	840	41203
20	863	40275
21	894	39746
22	946	40218
23	965	39271
24	977	38118
25	989	37072
26	1002	36144
27	1015	35254
28	1041	34877
29	1071	34655
30	1095	34234
31	1125	34054
32	1162	34062
33	1192	33884
34	1236	34099
35	1276	34193
36	1309	34071
37	1346	34091
38	1398	34470
39	1456	34965
40	1522	35616
41	1562	35635
42	1594	35492
43	1622	35250
44	1655	35140
45	1670	34638
46	1696	34401
47	1722	34162
48	1752	34004
49	1783	33879
50	1821	33887
51	1836	33483
52	1864	33320
53	1892	33152
54	1919	32987
55	1951	32892
56	1985	32851
57	2019	32804
58	2034	32441
59	2068	32403
60	2099	32318
61	2130	32228
62	2158	32098
63	2185	31961
64	2218	31906
65	2256	31934
66	2292	31930
67	2329	31924
68	2372	32004
69	2442	32454
70	2534	33156
71	2583	33300
72	2628	33374
73	2671	33431
74	2747	33880
75	2830	34410
76	2907	34853
77	2946	34826
78	2980	34746
79	3021	34743
80	3063	34761
81	3103	34739
82	3140	34700
83	3184	34722
84	3214	34600
85	3270	34762
86	3307	34704
87	3341	34626
88	3375	34548
89	3436	34745
90	3505	35017
91	3557	35110
92	3604	35152
93	3650	35189
94	3689	35151
95	3740	35218
96	3828	35639
97	3856	35498
98	3889	35395
99	3925	35329
100	3954	35196
101	3991	35143
102	4023	35041
103	4059	34972
104	4090	34869
105	4115	34713
106	4135	34514
107	4168	34428
108	4211	34426
109	4238	34294
110	4274	34236
111	4310	34176
112	4330	33993
113	4364	33917
114	4400	33861
115	4469	34059
116	4514	34071
117	4548	33999
118	4593	34007
119	4629	33947
120	4663	33878
121	4680	33686
122	4711	33591
123	4741	33496
124	4774	33422
125	4809	33361
126	4832	33217
127	4859	33105
128	4887	32997
129	4912	32878
130	4944	32801
131	4979	32746
132	4999	32591
133	5042	32585
134	5079	32545
135	5111	32471
136	5144	32404
137	5178	32344
138	5221	32343
139	5254	32278
140	5290	32230
141	5323	32163
142	5358	32112
143	5416	32200
144	5456	32173
145	5479	32051
146	5506	31954
147	5540	31894
148	5559	31751
149	5581	31630
150	5605	31518
151	5670	31633
152	5720	31665
153	5754	31611
154	5789	31559
155	5832	31553
156	5869	31518
157	5917	31535
158	5955	31499
159	5969	31338
160	6002	31277
161	6036	31224
162	6062	31131
163	6099	31090
164	6127	31008
165	6177	31038
166	6223	31044
167	6264	31024
168	6296	30959
169	6342	30964
170	6365	30857
171	6426	30936
172	6465	30908
173	6490	30813
174	6521	30744
175	6568	30750
176	6608	30726
177	6649	30708
178	6693	30701
179	6734	30679
180	6767	30620
181	6789	30514
182	6837	30525
183	6876	30497
184	6905	30422
185	6940	30374
186	6983	30362
187	7032	30375
188	7080	30380
189	7113	30325
190	7149	30280
191	7186	30242
192	7218	30181
193	7246	30106
194	7284	30070
195	7313	30000
196	7338	29914
197	7396	29960
198	7450	29989
199	7563	30253
200	7636	30357
201	7701	30425
202	7804	30641
203	7889	30783
204	7919	30713
205	7943	30617
206	7958	30488
207	7979	30382
208	7994	30258
209	8011	30139
210	8030	30028
211	8047	29911
212	8067	29806
213	8082	29687
214	8098	29569
215	8115	29454
216	8143	29384
217	8159	29267
218	8176	29158
219	8189	29035
220	8205	28924
221	8222	28816
222	8239	28708
223	8255	28598
224	8273	28496
225	8288	28387
226	8307	28290
227	8325	28188
228	8360	28147
229	8390	28090
230	8411	28002
231	8429	27903
232	8446	27804
233	8474	27742
234	8492	27645
235	8507	27541
236	8522	27438
237	8541	27346
238	8559	27254
239	8574	27153
240	8588	27049
241	8604	26949
242	8620	26855
243	8638	26764
244	8655	26672
245	8670	26576
246	8689	26489
247	8703	26392
248	8719	26297
249	8733	26201
250	8749	26110
251	8762	26009
252	8777	25915
253	8792	25823
254	8807	25732
255	8821	25636
256	8834	25541
257	8849	25449
258	8863	25359
259	8903	25341
260	8958	25366
261	9039	25463
262	9062	25396
263	9085	25330
264	9104	25253
265	9121	25170
266	9144	25104
267	9161	25022
268	9177	24940
269	9201	24878
270	9236	24846
271	9261	24787
272	9280	24714
273	9302	24647
274	9332	24602
275	9357	24546
276	9375	24470
277	9398	24409
278	9421	24348
279	9441	24278
280	9460	24207
281	9506	24204
282	9528	24140
283	9544	24062
284	9558	23979
285	9572	23898
286	9586	23815
287	9598	23730
288	9619	23665
289	9632	23582
290	9648	23508
291	9662	23428
292	9679	23356
293	9693	23276
294	9707	23199
295	9723	23125
296	9737	23049
297	9752	22973
298	9764	22892
299	9777	22813
300	9791	22738
301	9811	22677
302	9827	22607
303	9841	22531
304	9854	22454
305	9867	22379
306	9879	22300
307	9891	22223
308	9904	22149
309	9918	22075
310	9930	21999
311	9945	21930
312	9958	21857
313	9973	21789
314	9987	21719
315	10001	21649
316	10016	21580
317	10029	21510
318	10042	21439
319	10056	21369
320	10068	21297
321	10083	21230
322	10096	21161
323	10107	21088
324	10120	21019
325	10133	20951
326	10149	20888
327	10161	20818
328	10172	20747
329	10185	20679
330	10201	20618
331	10214	20551
332	10227	20485
333	10242	20424
334	10259	20364
335	10270	20297
336	10282	20229
337	10296	20166
338	10310	20104
339	10326	20044
340	10341	19984
341	10353	19919
342	10367	19858
343	10380	19795
344	10393	19732
345	10406	19670
346	10417	19603
347	10429	19540
348	10442	19479
349	10456	19419
350	10469	19358
351	10484	19301
352	10498	19241
353	10510	19180
354	10524	19121
355	10535	19059
356	10550	19002
357	10563	18943
358	10578	18887
359	10592	18830
360	10608	18777
361	10618	18713
362	10629	18652
363	10643	18597
364	10658	18543
365	10673	18488
366	10686	18431
367	10697	18371
368	10709	18312
369	10722	18256
370	10735	18200
371	10749	18147
372	10762	18092
373	10777	18039
374	10791	17985
375	10805	17933
376	10818	17878
377	10831	17823
378	10843	17766
379	10855	17712
380	10869	17659
381	10880	17601
382	10893	17548
383	10906	17495
384	10918	17441
385	10931	17388
386	10942	17332
387	10954	17278
388	10967	17226
389	10981	17175
390	10992	17121
391	11007	17072
392	11023	17025
393	11035	16972
394	11047	16921
395	11058	16867
396	11072	16817
397	11085	16766
398	11098	16717
399	11112	16668
400	11124	16617
401	11139	16570
402	11153	16523
403	11166	16472
404	11179	16424
405	11191	16373
406	11204	16325
407	11218	16277
408	11231	16229
409	11244	16181
410	11259	16135
411	11270	16085
412	11283	16036
413	11297	15990
414	11312	15945
415	11324	15898
416	11335	15847
417	11347	15799
418	11360	15752
419	11370	15702
420	11383	15655
421	11396	15608
422	11415	15571
423	11429	15526
424	11443	15482
425	11456	15436
426	11469	15391
427	11482	15346
428	11496	15301
429	11508	15256
430	11523	15213
431	11534	15166
432	11548	15122
433	11562	15079
434	11574	15034
435	11587	14989
436	11599	14944
437	11612	14900
438	11626	14857
439	11640	14814
440	11655	14774
441	11666	14728
442	11677	14683
443	11690	14639
444	11703	14596
445	11713	14550
446	11727	14508
447	11741	14467
448	11754	14424
449	11766	14381
450	11777	14336
451	11793	14297
452	11812	14263
453	11824	14220
454	11838	14180
455	11851	14138
456	11864	14097
457	11876	14055
458	11892	14016
459	11907	13977
460	11921	13938
461	11937	13900
462	11951	13861
463	11967	13824
464	11981	13784
465	11995	13745
466	12007	13704
467	12020	13663
468	12033	13624
469	12048	13586
470	12063	13548
471	12075	13508
472	12088	13468
473	12101	13429
474	12116	13391
475	12130	13354
476	12144	13315
477	12156	13275
478	12172	13240
479	12186	13201
480	12199	13163
481	12215	13127
482	12228	13089
483	12243	13052
484	12255	13013
485	12271	12979
486	12286	12942
487	12301	12906
488	12314	12868
489	12328	12831
490	12341	12793
491	12358	12759
492	12372	12723
493	12390	12691
494	12404	12655
495	12417	12617
496	12430	12580
497	12446	12546
498	12460	12510
499	12474	12474
500	12487	12437
501	12499	12399
502	12512	12363
503	12524	12325
504	12538	12290
505	12552	12255
506	12566	12219
507	12581	12184
508	12594	12149
509	12614	12119
510	12629	12085
511	12643	12051
512	12658	12016
513	12673	11983
514	12687	11948
515	12701	11913
516	12713	11877
517	12727	11842
518	12740	11807
519	12753	11772
520	12768	11739
521	12786	11708
522	12800	11675
523	12815	11641
524	12827	11606
525	12842	11572
526	12855	11538
527	12871	11506
528	12886	11473
529	12899	11439
530	12913	11405
531	12925	11370
532	12941	11339
533	12957	11307
534	12971	11274
535	12987	11243
536	13001	11210
537	13019	11180
538	13032	11146
539	13046	11113
540	13060	11081
541	13074	11048
542	13088	11015
543	13105	10985
544	13120	10953
545	13134	10921
546	13148	10889
547	13162	10856
548	13176	10824
549	13191	10793
550	13205	10761
551	13219	10728
552	13232	10696
553	13247	10664
554	13262	10633
555	13278	10603
556	13292	10571
557	13306	10540
558	13320	10508
559	13334	10477
560	13348	10445
561	13362	10413
562	13376	10382
